,Gender,Age,VAR00001,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007,VAR00008,VAR00009,Importance,Dependence,VAR00012,VAR00013,Item1,Item6,Item12,Item20,Item2,Item7,Item16,Item22,Item3,Item8,Item17,Item24,Item5,Item10,Item19,MPPU1,MPPU2,MPPU3,MPPU4,MPPU5,MPPU6,MPPU7,MPPU8,MPPU9,MPPU10,MPPU11,MPPU12,MPPU13,MPPUS14,MPPUS15,MPPUS16,MPPUS17,MPPUS18,MPPUS19,MPPUS20,MPPUS21,MPPUS22,MPPUS23,MPPUS24,MPPUS25,MPPUS26,MPPUS27,LOC1,LOC2,LOC3,LOC4,LOC5,LOC6,LOC7,LOC8,LOC9,LOC10,LOC11,LOC12,LOC13,LOC14,LOC15,LOC16,LOC17,LOC18,LOC19,LOC20,LOC21,LOC22,LOC23,LOC24,SSS1,SSS2,SSS3,SSS4,SSS5,SSS6,SSS7,SSS8,SSS9,SSS10,SSS11,SSS12,SIS1,SIS2,SIS3,SIS4,SIS5,SIS6,SIS7,SIS8,SIS9,SIS10,SIS11,SIS12,SIS13,SIS14,SIS15,SIS16,SIS17,SIS18,SIS19,SIS20,SIS21,SIS22,SIS23,SIS24,QTP1,QTP2,QTP3,QTP4,QTP5,QTP6,QTP7,QTP8,QTP9,QTP10,QTP11,QTP12,QTP13,QTP14,QTP15,QTP16,QTP17,QTP18,QTP19,QTP20,QTP21,QTP22,QTP23,QTP24,QTP25,QTP26,QTP27,QTP28,QTP29,QTP30,QTP31,QTP32,QTP33,QTP34,QTP35,QTP36,QTP37,QTP38,QTP39,QTP40,QTP41,QTP42,QTP43,QTP44,QTP45,QTP46,QTP47,QTP48,QTP49,QTP50,QTP51,QTP52,QTP53,QTP54,QTP55,QTP56,QTP57,QTP58,QTP59,QTP60,LON1,LON2,LON3,LON4,LON5,LON6,LON7,LON8,LON9,LON10,LON11,LON12,LON13,LON14,LON15,LON16,LON17,LON18,LON19,LON20,MEUS1,MEUS2,MEUS3,MEUS4,MEUS5,MEUS6,MEUS7,MEUS8,MEUS9,MEUS10,Factor1,Factor2,Factor3,Factor4,WASTotal,MPPUSTotal,MEUSTotal,SSSTotal,SSSAS,SSSBS,SSSTS,LOCEXS,LOCPOS,LOCCS,LOCIS,SISReallife,SISOnline,LONTotal,BFAG,BFCON,BFEXTR,BFNEUR,BFOPE,SocialSupportTotal,MEUSWithdraw,MEUSTime,MEUSSocial,Age1,WASTotal3,WPUSSD
0,1.0,22.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,7.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,7.0,6.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,5.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,10.0,6.0,8.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.274932614555256,2.4140730717185384,2.3859649122807016,2.5842391304347827,3.211875843454791,2.9945872801082545,2.3859649122807016,2.7462887989203777,3.051282051282051,2.0,2.5330634278002697,2.1549865229110514,2.6954177897574123,2.412806539509537,2.730458221024259,2.516216216216216,2.6562922868741543,2.539189189189189,2.972972972972973,2.9703504043126685,2.0447154471544717,2.291156462585034,2.1634877384196187,1.7830832196452933,1.6336499321573947,1.905149051490515,2.432065217391304,1.888586956521739,1.5400271370420624,1.5747282608695652,10.0,6.0,4.0,10.0,30.0,220.0,19.256649423277,27.0,9.0,9.0,9.0,62.0,30.0,32.0,31.0,56.0,14.0,53.23096218560319,24.0,27.0,27.0,24.0,21.0,29.0,6.531488549714315,6.499359648159125,6.225801225403559,2.0,20.0,2.0
1,1.0,22.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,8.0,2.0,10.0,10.0,10.0,4.0,4.0,1.0,8.0,8.0,3.0,2.0,10.0,2.0,7.0,3.0,9.0,5.0,9.0,9.0,10.0,3.0,10.0,10.0,10.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,5.0,5.0,4.0,6.0,4.0,3.0,3.0,3.0,6.0,6.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0447154471544717,2.291156462585034,2.1634877384196187,1.7830832196452933,1.6336499321573947,1.905149051490515,2.432065217391304,1.888586956521739,1.5400271370420624,1.5747282608695652,6.0,4.0,5.0,8.0,23.0,186.0,19.256649423277,29.0,10.0,8.0,11.0,57.0,30.0,27.0,29.0,35.0,17.0,40.0,28.0,28.0,17.0,10.0,22.0,27.0,6.531488549714315,6.499359648159125,6.225801225403559,2.0,15.0,1.0
2,1.0,22.0,4.0,7.0,4.0,7.0,1.0,1.0,1.0,4.0,1.0,8.0,8.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,7.0,5.0,1.0,10.0,7.0,10.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,10.0,10.0,10.0,1.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,5.0,6.0,6.0,6.0,5.0,1.0,4.0,5.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,6.0,4.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,15.0,4.0,8.0,14.0,41.0,161.0,22.0,30.0,10.0,10.0,10.0,81.0,42.0,39.0,42.0,53.0,20.0,40.0,27.0,28.0,33.0,34.0,28.0,12.0,5.0,10.0,7.0,2.0,27.0,3.0
3,1.0,22.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,7.0,9.0,1.0,9.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,9.0,9.0,7.0,10.0,10.0,10.0,10.0,5.0,10.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,2.0,6.0,6.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,6.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,4.0,7.0,20.0,215.0,13.0,25.0,8.0,7.0,10.0,57.0,23.0,34.0,30.0,41.0,10.0,43.0,30.0,34.0,29.0,25.0,21.0,25.0,4.0,3.0,6.0,2.0,13.0,1.0
4,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,9.0,9.0,9.0,3.0,6.0,6.0,9.0,7.0,4.0,4.0,8.0,8.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,7.0,7.0,7.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0447154471544717,2.291156462585034,2.1634877384196187,1.7830832196452933,1.6336499321573947,1.905149051490515,2.432065217391304,1.888586956521739,1.5400271370420624,1.5747282608695652,13.0,15.0,11.0,10.0,49.0,147.0,19.256649423277,27.0,10.0,7.0,10.0,49.0,23.0,26.0,22.0,34.0,25.0,44.0,27.0,30.0,29.0,23.0,24.0,33.0,6.531488549714315,6.499359648159125,6.225801225403559,2.0,39.0,4.0
5,1.0,20.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,4.0,9.0,1.0,10.0,10.0,10.0,3.0,6.0,3.0,10.0,7.0,2.0,8.0,10.0,10.0,1.0,7.0,10.0,6.0,10.0,10.0,9.0,10.0,10.0,8.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,6.0,4.0,4.0,9.0,23.0,193.0,21.0,30.0,10.0,10.0,10.0,55.0,28.0,27.0,32.0,42.0,34.0,46.0,27.0,28.0,24.0,19.0,28.0,28.0,8.0,6.0,7.0,2.0,14.0,1.0
6,1.0,21.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,10.0,2.0,10.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,10.0,5.0,1.0,3.0,10.0,3.0,1.0,8.0,9.0,3.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,6.0,5.0,5.0,2.0,5.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,13.0,4.0,5.0,11.0,33.0,107.0,17.0,30.0,10.0,7.0,13.0,54.0,26.0,28.0,34.0,38.0,24.0,40.0,22.0,27.0,29.0,24.0,22.0,28.0,6.0,4.0,7.0,2.0,22.0,2.0
7,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,5.0,6.0,1.0,10.0,3.0,10.0,10.0,3.0,1.0,6.0,6.0,1.0,10.0,10.0,10.0,3.0,5.0,3.0,2.0,2.0,8.0,10.0,1.0,10.0,6.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,2.0,6.0,4.0,5.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0,4.0,18.0,151.0,11.0,31.0,11.0,9.0,11.0,56.0,24.0,32.0,27.0,44.0,24.0,46.0,22.0,19.0,18.0,27.0,19.0,31.0,4.0,4.0,3.0,2.0,14.0,1.0
8,1.0,23.0,3.0,7.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,8.0,7.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,3.0,7.0,3.0,4.0,1.0,10.0,10.0,10.0,5.0,3.0,10.0,10.0,10.0,10.0,8.0,10.0,3.0,10.0,4.0,4.0,1.0,5.0,10.0,10.0,1.0,10.0,10.0,10.0,2.0,1.0,5.0,1.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,1.0,4.0,6.0,1.0,6.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,12.0,5.0,14.0,9.0,40.0,189.0,15.0,30.0,13.0,7.0,10.0,63.0,31.0,32.0,22.0,42.0,17.0,37.0,32.0,25.0,28.0,31.0,32.0,22.0,4.0,7.0,4.0,2.0,31.0,3.0
9,1.0,22.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,7.0,6.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,6.0,4.0,7.0,5.0,3.0,5.0,6.0,4.0,3.0,8.0,5.0,3.0,8.0,8.0,6.0,4.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,6.0,5.0,2.0,2.0,4.0,3.0,3.0,6.0,5.0,2.0,1.0,3.0,4.0,2.0,5.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,10.0,11.0,10.0,11.0,42.0,126.0,33.0,30.0,11.0,11.0,8.0,57.0,27.0,30.0,28.0,40.0,28.0,48.0,28.0,32.0,27.0,29.0,21.0,34.0,13.0,8.0,12.0,2.0,31.0,3.0
