"CARDID","LINEID","BEGINTIME","ENDTIME","STATIONFROM","STATIONTO","BUSID"
"70F8CF7C5C507F2516147ADAA7765A80","00816","20140401173500","20140401180949","34","37","00017499"
"8AA64E54F0D85F9E3A11D8BEC6684D73","00816","20140401171200","20140401180951","24","37","00017499"
"38E9497B43759F699AC0158700F862A5","00816","20140401181700","20140401182650","37","37","00017499"
"CC07331E11F3412953B2EC8E181D92D4","00816","20140401181900","20140401184140","37","36","00017499"
"DDCEB394A1906836F0DA6DD754CA11B5","00816","20140401182000","20140401184212","37","36","00017499"
"BC0ACC2B7564C0387CC1E42E479EF9D6","00816","20140401182700","20140401184237","37","36","00017499"
"AC7AF470415F1F28A3CF938731C75D87","00816","20140401181800","20140401184302","37","36","00017499"
"E5FC5820B6BF4CD238FEC0077B487F85","00816","20140401181700","20140401184337","37","36","00017499"
"2B17318EF91225E9BBC9B91FCDC09F0E","00816","20140401181900","20140401184359","37","36","00017499"
"D6D674630F220B2E13B4FF288A8EAF7C","00816","20140401182700","20140401184406","37","36","00017499"
"BD5E102B236954A0FB8CB95D588AAFB1","00816","20140401182000","20140401184409","37","36","00017499"
"CFE7A5B5E203D0857AA063B8991422B2","00816","20140401182700","20140401184411","37","36","00017499"
"762BFE7A72A19F417B66B79745B56C28","00816","20140401182700","20140401184413","37","36","00017499"
"14F0C03BD9E722A7183DCF6923E1C4EC","00816","20140401181900","20140401184745","37","35","00017499"
"134E9610FCB319BC126730359E76A2C1","00816","20140401184700","20140401190346","35","34","00017499"
"EE26EB06BE8A1F123CFC8F5B3F08B039","00816","20140401184400","20140401190520","36","34","00017499"
"D4788BCF2AF1E82D5B5427C2CF9AE524","00816","20140401181600","20140401190735","37","34","00017499"
"6F697CBDF874FCB0CE44278A47E4399E","00991","20140401075900","20140401081532","38","43","00016386"
"1A7B0BA66424E4C340B1712BA76DC8E2","00991","20140401080600","20140401081636","39","43","00016386"
"321032A5C3D03F7B14B4C458FC3690CB","00991","20140401064300","20140401081749","6","44","00016386"
"2924741E0D90976A3467B0E8C3ADF1FF","00991","20140401075700","20140401082333","37","44","00016386"
